log_msg_len,type_id,timestamp,Version,Serving Cell Index,E-ARFCN,Serving Physical Cell ID,Sub-frame Number,RSRP(dBm),RSRQ(dB),Number of Neighbor Cells,Number of Detected Cells,Neighbor Cells,Physical Cell ID,RSRP(dBm),RSRQ(dB),Physical Cell ID,RSRP(dBm),RSRQ(dB),Detected Cells
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:24:23.870042,4,1_SCell,977,202,5334,-118.125,-16.4375,1,0,,393,-123.1875,-21.8125,,,,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:22:35.433070,4,PCell,66586,349,9537,-114.5625,-14.1875,1,0,,441,-127.6875,-21.5,,,,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:22:35.630525,4,PCell,66586,349,9734,-114.4375,-14.4375,1,0,,441,-126.25,-22.4375,,,,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:52.550175,4,PCell,66586,349,4734,-114.75,-13.0625,1,0,,441,-125.1875,-21.5,,,,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:52.750204,4,PCell,66586,349,4934,-114.5,-11.5625,1,0,,441,-127.0,-21.75,,,,
76,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:53.406996,4,1_SCell,977,202,5591,-116.9375,-12.4375,2,0,,393,-124.625,-21.5625,118,-125.1875,-19.125,
76,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:24:07.623014,4,1_SCell,977,202,9567,-114.4375,-10.875,2,0,,393,-127.4375,-22.5625,118,-124.9375,-18.75,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:24:07.750128,4,PCell,66586,349,9694,-116.0625,-14.375,1,0,,441,-127.375,-21.3125,,,,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:24:07.950135,4,PCell,66586,349,9894,-116.4375,-13.4375,1,0,,441,-127.9375,-20.3125,,,,
76,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:24:08.766956,4,1_SCell,977,202,471,-116.0,-12.9375,2,0,,118,-125.0625,-17.875,393,-122.0,-19.0625,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:24:34.550020,4,PCell,66586,349,5774,-115.3125,-13.5625,1,0,,441,-124.25,-21.25,,,,
64,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:25:38.449214,4,1_SCell,977,202,8234,-116.6875,-17.5625,2,0,,393,-120.75,-21.0625,118,-125.4375,-23.9375,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:25:38.611543,4,PCell,66586,349,8396,-116.9375,-14.375,1,0,,441,-127.1875,-22.0625,,,,
64,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:25:39.151363,4,1_SCell,977,202,8936,-116.375,-15.5,2,0,,393,-124.125,-22.4375,118,-125.3125,-24.75,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:25:39.225437,4,PCell,66586,349,9010,-117.5,-14.3125,0,0,,,,,,,,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:37.670221,4,PCell,66586,349,94,-117.375,-13.75,1,0,,279,-126.6875,-22.0,,,,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:37.670221,4,1_SCell,977,202,94,-116.3125,-13.4375,1,0,,118,-122.75,-18.5625,,,,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:24:34.750013,4,PCell,66586,349,5974,-114.875,-13.8125,1,0,,441,-125.5625,-22.25,,,,
76,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:24:34.833968,4,1_SCell,977,202,6058,-116.6875,-13.0625,2,0,,393,-125.1875,-21.6875,118,-125.0625,-18.9375,
64,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:24:35.431633,4,1_SCell,977,202,6656,-117.625,-15.875,2,0,,118,-124.6875,-21.875,393,-123.25,-20.5625,
64,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:22:49.525216,4,1_SCell,977,202,3149,-116.3125,-15.1875,2,0,,393,-126.0625,-22.0,118,-123.75,-15.6875,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:25:11.465341,4,PCell,66586,349,1730,-115.625,-11.5,0,0,,,,,,,,
76,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:25:11.486680,4,1_SCell,977,202,1751,-115.0625,-16.0625,2,0,,393,-120.25,-20.5,118,-123.75,-24.6875,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:25:11.490522,4,PCell,66586,349,1755,-115.875,-16.1875,0,0,,,,,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:25:11.785335,4,PCell,66586,349,2050,-115.875,-16.1875,0,0,,,,,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:25:11.790180,4,PCell,66586,349,2055,-115.4375,-12.8125,0,0,,,,,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:25:12.105333,4,PCell,66586,349,2370,-115.4375,-12.8125,0,0,,,,,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:25:12.110425,4,PCell,66586,349,2375,-115.875,-14.5,0,0,,,,,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:25:12.425442,4,PCell,66586,349,2690,-115.875,-14.5,0,0,,,,,,,,
76,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:25:12.444545,4,1_SCell,977,202,2709,-116.125,-11.5625,2,0,,393,-124.625,-20.375,118,-125.5,-21.1875,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:25:12.448377,4,PCell,66586,349,2713,-115.6875,-14.0625,0,0,,,,,,,,
